FAO_code,Latin species name,English,Spanish,French
UMB,Umbrina broussonnetii,Striped drum,,
UMC,Umbrina coroides,Sand drum,,
UMG,Calumia godeffroyi,Tailface sleeper,,
UMH,Aruma histrio,Slow goby,,
UMI,Etropus microstomus,Smallmouth flounder,,
UMJ,Amusium japonicum,Saucer scallop,,Peigne lisse de Nouvelle-Cal.
UMK,Umbra krameri,Mudminnow,,
UML,Portumnus latipes,Slender swimcrab,Cangrejo paella,Étrille élégante
UMO,Umbrina ronchus,Fusca drum,,
UMP,Amusium pleuronectes,Asian moon scallop,,Peigne lisse asiatique
UMR,Umbrina roncador,Yellowfin drum,,
UMS,Umbrina steindachneri,Steindachner's drum,,
UMU,Sinum concavum,Concave baby's ear,Sigarita concava,Natice concave
UMV,Umbonium vestiarium,Common button top,,Rotelle commune
UMX,Umbrina xanti,Polla drum,,
UMY,Amusium papyraceum,Paper moon scallop,Vieira papiro,Peigne papyrus
UMZ,Achirus mazatlanus,Mazatlan sole,,
UNA,Placuna placenta,Windowpane oyster,,Placune ovale
UNC,Bregmaceros mcclellandi,Unicorn cod,Bregmacero,Bregmacère de l'océan Indien
UND,Lupinoblennius dispar,Mangrove blenny,,
UNE,Mulinia cleryana,Caribbean surf clam,,
UNF,Placuna ephippium,Saddle oyster,,Placune papier
UNG,Portunus sanguinolentus,Threespot swimming crab,,
UNI,Dunaliella salina,,,
UNJ,Dunaliella tertiolecta,,,
UNL,Uncisudis longirostra,,,
UNM,Pungu maclareni,,,
UNN,Bufonaria nana,Dwarf frog shell,Bursa enana,Bourse naine
UNO,Munida obesa,Stout squat lobster,Camaroncillo rojo,Galathée rouge
UNP,Munida propinqua,Deep-water squat lobster,Camaroncillo rojo de altura,Galathée du large
UNQ,Lunatia catena,Chained moon-shell,Lunero de collar,
UNR,Munida refulgens,Radiant squat lobster,Munida radiante,Galathée radiante
UNT,Munida tenella,Long-clawed squat lobster,Munida de pinzas largas,Galathée à longues pinces
UNU,Sanguinolaria cruenta,Operculate sanguin,,
UNX,Bullia spp,,,
UOA,Turbo marmoratus,Green turban,,Turbo vert
UOB,Turbo bruneus,Brown Pacific turban,,Turbo brun
UOC,Upogebia capensis,Cape mud shrimp,,
UOE,Serpulorbis medusae,Jellyfish worm shell,,Vermet meduse
UOG,Undulostrea megodon,Megodon oyster,Ostra plegada,Huître ondulée
UOI,Turbo cinereus,Smooth moon turban,,Turbo cendre
UOM,Upogebia major,Japanese mud shrimp,,
UON,Bufonaria rana,Common frog shell,,Ranelle commune
UOO,Turbo coronatus,Coronate moon turban,,Turbo couronné
UOP,Upogebia pugettensis,Blue mud shrimp,,
UOR,Turbo crassus,Crass turban,,Turbo épais
UOS,Turbo setosus,Rough turban,,Turbo soyeux
UOT,Turbo castanea,Chestnut turban,Turbante castana,Turban marron
UOX,Cultellus spp,,,
UOZ,Pleuroploca trapezium,Trapezium horse conch,,Fasciolaire ferrugineuse
