Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1905,"VIId,e",GUX,"Gurnards, searobins nei",Triglidae,363
BEL,1905,"VIId,e",HAD,Haddock,Melanogrammus aeglefinus,267
BEL,1905,"VIId,e",HAL,Atlantic halibut,Hippoglossus hippoglossus,
BEL,1905,"VIId,e",HKE,European hake,Merluccius merluccius,75
BEL,1905,"VIId,e",HOM,Atlantic horse mackerel,Trachurus trachurus,38
BEL,1905,"VIId,e",JOD,John dory,Zeus faber,19
BEL,1905,"VIId,e",LEM,Lemon sole,Microstomus kitt,5
BEL,1905,"VIId,e",LIN,Ling,Molva molva,45
BEL,1905,"VIId,e",MAC,Atlantic mackerel,Scomber scombrus,9
BEL,1905,"VIId,e",MUR,Surmullet,Mullus surmuletus,10
BEL,1905,"VIId,e",PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,6
BEL,1905,"VIId,e",PLE,European plaice,Pleuronectes platessa,15
BEL,1905,"VIId,e",POK,Saithe(=Pollock),Pollachius virens,19
BEL,1905,"VIId,e",POL,Pollack,Pollachius pollachius,617
BEL,1905,"VIId,e",SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,407
BEL,1905,"VIId,e",SOL,Common sole,Solea solea,12
BEL,1905,"VIId,e",SPR,European sprat,Sprattus sprattus,
BEL,1905,"VIId,e",TUR,Turbot,Psetta maxima,11
BEL,1905,"VIId,e",WHG,Whiting,Merlangius merlangus,20
BEL,1905,VIIg-k,BLL,Brill,Scophthalmus rhombus,2
BEL,1905,VIIg-k,COD,Atlantic cod,Gadus morhua,27
BEL,1905,VIIg-k,COE,European conger,Conger conger,19
BEL,1905,VIIg-k,DAB,Common dab,Limanda limanda,6
BEL,1905,VIIg-k,DGZ,Dogfishes nei,Squalus spp,
BEL,1905,VIIg-k,FIN,Finfishes nei,Osteichthyes,16
BEL,1905,VIIg-k,FLE,European flounder,Platichthys flesus,
BEL,1905,VIIg-k,GUX,"Gurnards, searobins nei",Triglidae,45
BEL,1905,VIIg-k,HAD,Haddock,Melanogrammus aeglefinus,25
BEL,1905,VIIg-k,HAL,Atlantic halibut,Hippoglossus hippoglossus,P
BEL,1905,VIIg-k,HKE,European hake,Merluccius merluccius,6
BEL,1905,VIIg-k,HOM,Atlantic horse mackerel,Trachurus trachurus,10
BEL,1905,VIIg-k,JOD,John dory,Zeus faber,1
BEL,1905,VIIg-k,LEM,Lemon sole,Microstomus kitt,3
BEL,1905,VIIg-k,LIN,Ling,Molva molva,15
BEL,1905,VIIg-k,MAC,Atlantic mackerel,Scomber scombrus,2
BEL,1905,VIIg-k,MUR,Surmullet,Mullus surmuletus,1
BEL,1905,VIIg-k,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,11
BEL,1905,VIIg-k,PLE,European plaice,Pleuronectes platessa,12
BEL,1905,VIIg-k,POK,Saithe(=Pollock),Pollachius virens,11
BEL,1905,VIIg-k,POL,Pollack,Pollachius pollachius,2
BEL,1905,VIIg-k,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,53
